subject_id	lang_id	mother_tongue	mother_tongue_extra	trans_direct	trans_direct_extra	gender	age	education_level	degree_name	curr_position	english_level	trans_yr_exp	did_postedit	postedit_yr_exp	perc_postedit_12m	pro_fix_repetitive	pro_save_time	pro_creativity	pro_check_words	pro_consistency	con_creativity	con_poor_quality	con_ethics	con_trust	con_interpretable	comment_pe	duration_s
ara_t1	ara	Arabic		English to Arabic		Male	35 - 44	4/5 year degree	B.A. English major, Cairo University	Freelance translator full time	C2	More than 15	Yes	More than 2 and less than 5	More than 20% and less than 40%	0	1	0	1	0	1	0	0	0	0	MT is like any other tool we use to increase productivity and ease our work. It is very useful with texts in technical, general, and non-specialist texts. However, post-editor must be very careful as the machine is not always consistent and sometimes the translation is irrelevant.  	274
ara_t2	ara	Arabic		English to Arabic		Male	25 - 34	4/5 year degree	Bachelor of Arts in English Language and Translation	Employed full time in a translation agency	C2	More than 5 and less than 10	Yes	More than 2 and less than 5	More than 60% and less than 80%	1	1	1	1	0	0	1	0	0	0	It may need more improvement to be more efficient so we can rely on it.	2347
ara_t3	ara	Arabic		English to Arabic		Male	25 - 34	Master	Masters in Arabic Translation from Jamia Millia Islamia University	Freelance translator full time	C1	More than 5 and less than 10	Yes	Less than 2	More than 20% and less than 40%	1	1	0	1	1	0	0	0	0	0		284
ita_t1	ita	Italian		English to Italian	 French to Italian	Female	25 - 34	Master	Master's Degree in Translation and Cultural Mediation + Postgraduate Degree in Specialised Translation (Technical & Scientific)	Employed full time in a translation agency	C1	More than 5 and less than 10	Yes	More than 5 and less than 10	More than 20% and less than 40%	1	1	0	0	0	0	0	0	0	0	I think MT post-editing is essential in many cases as it's time-saving (especially for repetitive and longer tasks) as long as output quality is worth it (the MT engine should be adequately trained with corpora)	1293
ita_t4	ita	Italian		English to Italian		Female	25 - 34	Master	Postgraduate 1-year course on Specialized Translation ENG &gt; IT	Freelance translator full time	C1	More than 2 and less than 5	Yes	More than 2 and less than 5	More than 40% and less than 60%	1	0	0	0	0	1	0	0	0	0	MTPE can be useful for repetitive jobs, but it remains a quite boring activity. I prefer it if used in combination with computer-assisted translation.	386
ita_t5	ita	Italian		English to Italian		Female	35 - 44	4/5 year degree	Bachelor Degree in Translation and Interpreting + 2 years specialization degree in Technical and Scientific Translation	Freelance translator full time	C2	More than 10 and less 15	Yes	More than 5 and less than 10	More than 80%	1	1	1	0	0	0	0	0	0	0	As a technical translator also working in the patent field, MT allows me to save time and focus on other aspects of the translation job. I cannot trust MT for specific terminology with no context or in case of omonyms.	533
nld_t1	nld	Dutch	English	Dutch to English		Male	25 - 34	Master	Master in Translation by Utrecht University	Freelance translator full time	C2	More than 5 and less than 10	Yes	More than 5 and less than 10	More than 60% and less than 80%	1	1	0	1	0	0	0	0	0	0	It can save a lot of time.	390
nld_t2	nld	Dutch		English to Dutch		Female	35 - 44	Master	Bachelor of International Communication by Hogeschool Zuyd Maastricht, Department of Translation and Interpreting 	Freelance translator full time	C1	More than 10 and less 15	Yes	More than 5 and less than 10	More than 40% and less than 60%	1	1	0	1	0	1	0	0	0	0	It often saves time which allows me to work faster, but it also limits creativity. So depending on the type of text it's really useful at times, but sometimes it's just not useful at all.	485
nld_t3	nld	Dutch		English to Dutch		Female	25 - 34	Master	Master in Writing, Editing and Mediating at the University of Groningen	Freelance translator full time	C2	More than 2 and less than 5	Yes	More than 2 and less than 5	More than 20% and less than 40%	0	1	0	1	0	0	0	0	0	0	It depends very much on the type of content. MT is very useful for technical, straightforward and/or simple texts. It can save a lot of time when translating content for IT and manuals, especially when the MT uses a project-specific glossary. It is much less useful for more creative texts such as marketing, or content with more complex sentences, as it tends to lose sight of the grammatical structure fairly quickly. Generally, MT can also be used as a quick translation tool for individual terms, even if the rest of the sentence is unusable; expressions tend to be translated too literally, though.	15314
tur_t1	tur	Turkish		English to Turkish		Female	25 - 34	4/5 year degree	Undergraduate degree in Translation Studies by Hacettepe University	Freelance translator full time	C2	More than 5 and less than 10	Yes	More than 2 and less than 5	Less than 20%	0	0	0	0	0	1	1	0	0	0	For the language pair I work with, machine translation usually does not provide grammatically accurate or fluent translations. As a result, I personally think not using MT at all and translating from scratch is easier than post-editing machine translation, at least 50% of the time.	565
tur_t2	tur	Turkish		English to Turkish		Female	25 - 34	Professional degree (e.g. vocational college)	Bachelor's Degree in Translation and Interpreting by Istanbul University	Freelance translator full time	C1	More than 5 and less than 10	Yes	More than 5 and less than 10	Less than 20%	1	1	0	0	0	1	0	0	1	1	I like being part of the technological progress but still think that the translation work usually includes some form or level of creativity. At the moment, MT is not able to provide that creativity.	3106
tur_t3	tur	Turkish		English to Turkish		Male	25 - 34	High school graduate		Freelance translator full time	C2	More than 10 and less 15	Yes	Less than 2	Less than 20%	0	0	0	0	0	1	1	0	0	0	From a translator's point of view, post-editing is like re-translating fuzzy matched TM entries from a regular translation project. The skill set it requires is similar to that of translation/proofreading. The main difference is that a translator/proofreader needs to have deep knowledge of both the source and target language, while, depending on the content of the post-editing project it is sufficient for a post-editor to have strong knowledge of the target language and of the specific domain, with a working knowledge of the source language. Even though it may reduce the overall translation costs and thus my personal income, personally I find post-editing jobs enjoyable, since they require me to solve errors.	255892
ukr_t1	ukr	Ukrainian		English to Ukrainian		Female	35 - 44	Master	Master in Translation by the Institute of Social Education	Employed full time in a translation agency	C1	More than 5 and less than 10	Yes	More than 5 and less than 10	More than 20% and less than 40%	1	0	0	0	0	1	0	0	0	0	МТ can be quite helpful in translation of simple technical texts, but as it's still far from being good in complex sentences and concepts, I don't use it very often.	1140
ukr_t2	ukr	Ukrainian	Russian	English to Russian	 English to Ukrainian	Male	35 - 44	Master	Master in Translation by the Kiev International University	Employed full time in a translation agency	C1	More than 10 and less 15	Yes	More than 10 and less than 15	More than 20% and less than 40%	0	1	0	1	0	0	0	0	0	0	It's useful for technical texts and small phrases or lists but isn't suitable for marketing texts.	709
ukr_t3	ukr	Ukrainian	Russian	English to Ukrainian		Male	35 - 44	High school graduate	None	Employed full time in a translation agency	B2	More than 2 and less than 5	Yes	More than 2 and less than 5	More than 20% and less than 40%	1	1	1	1	0	0	0	1	0	0	Machine translation is simply the future of translation. It saves vast amounts of time and nowadays is a must-have option for big projects and repetitive work. It also helps a lot to maintain the consistence of translations.  But it is still required to check and post-edit the translations provided by neural networks, as they are not always accurate and sometimes do not convey the emotional sides of the text, and it also happens that they change the sense to the opposite. I also sometimes feel not comfortable because I realize that sometimes soon I may easily be replaced by a computer at my workplace and will have to look for another job. But that is what progress is, so I must get along with that.	1178
