unit_id	flores_id	item_id	subject_id	task_type	translation_type	src_len_chr	mt_len_chr	tgt_len_chr	src_len_wrd	mt_len_wrd	tgt_len_wrd	edit_time	k_total	k_letter	k_digit	k_white	k_symbol	k_nav	k_erase	k_copy	k_cut	k_paste	k_do	n_pause_geq_300	len_pause_geq_300	n_pause_geq_1000	len_pause_geq_1000	event_time	num_annotations	last_modification_time	n_insert	n_delete	n_substitute	n_shift	tot_shifted_words	tot_edits	hter	cer	bleu	chrf	lang_id	doc_id	time_s	time_m	time_h	time_per_char	time_per_word	key_per_char	words_per_hour	words_per_minute	per_subject_visit_order	src_text	mt_text	tgt_text	aligned_edit
flores101-warmup-tur-1-ht-1	163	flores101-warmup-11	tur_t1	ht	ht	189		192	29		27	88.624	660	472	0	68	14	72	34	0	0	0	0	37	728697	14	716844	761283	1	1642600367											tur	1	761.283	12.688	0.2115	4.028	26.2511	3.4921	137.1369	2.2856	1	In France, voting has traditionally been a low-tech experience: voters isolate themselves in a booth, put a pre-printed sheet of paper indicating their candidate of choice into an envelope.		Fransa'da oy verme deneyimi geleneksel olarak pek teknolojik olmayan bir süreçtir. Oy verenler, dışarıdan izole olacakları bir kabine girer ve seçtikleri adayı belirten bir kağıdı zarfa koyar.	
flores101-warmup-tur-1-ht-2	164	flores101-warmup-12	tur_t1	ht	ht	120		112	20		16	56.622	143	109	0	17	2	8	7	0	0	0	0	20	38299	9	32412	56622	3	1642600367											tur	1	56.622	0.9437	0.0157	0.4718	2.8311	1.1917	1271.5905	21.1932	2	After officials verify the voter's identity, the voter drops the envelope into the ballot box and signs the voting roll.		Yetkililer oy verenin kimliğini doğruladığında bu kişi zarfını oy sandığına atar ve oy seçmen listesini imzalar.	
flores101-warmup-tur-1-ht-3	165	flores101-warmup-13	tur_t1	ht	ht	62		69	8		9	19.799	154	122	0	16	6	4	6	0	0	0	0	6	22626	1	20655	32144	1	1642600367											tur	1	32.144	0.5357	0.0089	0.5185	4.018	2.4839	895.9681	14.9328	3	French electoral law rather strictly codifies the proceedings.		Bu süreç, Fransa'nın seçim yasasında sıkı bir şekilde düzenlenmiştir.	
flores101-warmup-tur-1-ht-4	166	flores101-warmup-14	tur_t1	ht	ht	228		297	40		37	97.629	425	312	4	43	5	35	24	0	1	1	0	38	56332	16	44299	97629	1	1642600367											tur	1	97.629	1.6272	0.0271	0.4282	2.4407	1.864	1474.9716	24.5829	4	Since 1988, ballot boxes must be transparent so that voters and observers can witness that no envelopes are present at the start of the vote and that no envelopes are added except those of the duly counted and authorized voters.		1988'den bu yana, oylamanın başlangıcında sandıkta başka zarf bulunmadığının ve seçmen listesinde adı bulunup kimliği doğrulanan kişilere ait olanlar dışında başka bir zarf eklenmediğinin oy verenler ve gözetmenler tarafından görülebilmesi için oy sandıklarının şeffaf olması koşulu getirilmiştir.	
flores101-warmup-tur-1-ht-5	167	flores101-warmup-15	tur_t1	ht	ht	177		177	25		21	125.489	232	170	0	23	5	19	14	0	1	0	0	26	103923	12	97782	125489	1	1642600367											tur	1	125.489	2.0915	0.0349	0.709	5.0196	1.3107	717.1943	11.9532	5	Candidates can send representatives to witness every part of the process. In the evening, votes are counted by volunteers under heavy supervision, following specific procedures.		Adaylar, sürecin her adımını izlemesi için temsilciler gönderebilir. Akşam saatlerinde sıkı denetim altında ve belirli prosedürler izlenerek oylar gönüllüler tarafından sayılır.	
flores101-warmup-tur-2-pe2-1	319	flores101-warmup-21	tur_t1	pe2	pe	102	111.0	106	13	14.0	14	35.201	41	19	0	3	0	18	0	0	0	1	0	4	32549	3	31833	35201	1	1642600367	0.0	0.0	2.0	0.0	0.0	2.0	14.286	0.0721	76.7	90.09	tur	2	35.201	0.5867	0.0098	0.3451	2.7078	0.402	1329.5077	22.1585	6	Xinhua reported that government investigators recovered two 'black box' flight recorders on Wednesday.	Xinhua, hükümet müfettişlerinin Çarşamba günü iki adet 'kara kutu' uçuş kayıt makinesini bulduklarını bildirdi.	Xinhua, hükümet müfettişlerinin Çarşamba günü iki adet 'kara kutu' uçuş kayıt makinesi bulduğunu bildirdi.	REF:  xinhua, hükümet müfettişlerinin çarşamba günü iki adet 'kara kutu' uçuş kayıt makinesini bulduklarını bildirdi.\nHYP:  xinhua, hükümet müfettişlerinin çarşamba günü iki adet 'kara kutu' uçuş kayıt makinesi   bulduğunu    bildirdi.\nEVAL:                                                                               S          S
flores101-warmup-tur-2-pe2-2	320	flores101-warmup-22	tur_t1	pe2	pe	43	49.0	49	7	6.0	6	5.508	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5508	1	1642600367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	tur	2	5.508	0.0918	0.0015	0.1281	0.7869	0.093	4575.1634	76.2527	7	Fellow wrestlers also paid tribute to Luna.	Diğer güreşçiler de Luna'ya saygılarını sundular.	Diğer güreşçiler de Luna'ya saygılarını sundular.	REF:  diğer güreşçiler de luna'ya saygılarını sundular.\nHYP:  diğer güreşçiler de luna'ya saygılarını sundular.\nEVAL:
flores101-warmup-tur-2-pe2-3	321	flores101-warmup-23	tur_t1	pe2	pe	162	140.0	156	29	21.0	23	78.911	135	51	0	9	1	70	4	0	0	0	0	12	66331	6	62901	78911	1	1642600367	2.0	0.0	10.0	1.0	1.0	13.0	61.905	0.3714	29.46	61.59	tur	2	78.911	1.3152	0.0219	0.4871	2.7211	0.8333	1323.0095	22.0502	8	"Tommy Dreamer said ""Luna was the first Queen of Extreme. My first manager. Luna passed away on the night of two moons. Pretty unique just like her. Strong woman."""	"Tommy Dreamer, ""Luna Extreme'in ilk Kraliçesiydi. İlk yöneticimydi. Luna iki ayın gecesi öldü. O kadar da benzersiz. Güçlü bir kadın."" dedi."	"Tommy Dreamer, ""Luna, ilk Ekstrem Kraliçesiydi. İlk yöneticimdi. Luna iki ay olduğu gece öldü. Kendisi gibi benzersiz bir geceydi. Güçlü bir kadındı."" dedi."	"REF:  tommy dreamer, ""luna    extreme'in   ilk   kraliçesiydi. i̇lk yöneticimydi. luna iki ** ayın   gecesi öldü. ******* o    kadar     da  benzersiz. güçlü bir kadın.""   dedi.\nHYP:  tommy dreamer, ""luna, @ ekstrem    [ ilk ] kraliçesiydi. i̇lk yöneticimdi.  luna iki ay olduğu gece   öldü. kendisi gibi benzersiz bir geceydi.   güçlü bir kadındı."" dedi.\nEVAL:                S        S                                     S                      I  S      S            I       S    S         S   S                    S"
flores101-warmup-tur-2-pe2-4	322	flores101-warmup-24	tur_t1	pe2	pe	150	142.0	145	23	20.0	20	30.686	92	20	0	0	0	71	1	0	0	0	0	7	28109	6	27693	30686	1	1642600367	0.0	0.0	3.0	0.0	0.0	3.0	15.0	0.1408	52.86	73.78	tur	2	30.686	0.5114	0.0085	0.2046	1.3342	0.6133	2698.2989	44.9716	9	"Dustin ""Goldust"" Runnels commented that ""Luna was as freaky as me...maybe even more...love her and will miss her...hopefully she's in a better place."""	"Dustin ""Goldust"" Runnels, ""Luna ben kadar ürperticiydi... belki daha da... onu seviyorum ve kaybolacaktır... umarım daha iyi bir yerde."" dedi."	"Dustin ""Goldust"" Runnels, ""Luna benim kadar ürperticiydi... Belki daha da... Onu seviyorum ve özleyeceğim... Umarım daha iyi bir yerdedir."" dedi."	"REF:  dustin ""goldust"" runnels, ""luna ben   kadar ürperticiydi... belki daha da... onu seviyorum ve kaybolacaktır... umarım daha iyi bir yerde.""    dedi.\nHYP:  dustin ""goldust"" runnels, ""luna benim kadar ürperticiydi... belki daha da... onu seviyorum ve özleyeceğim...   umarım daha iyi bir yerdedir."" dedi.\nEVAL:                                 S                                                             S                                    S"
flores101-warmup-tur-3-pe1-1	600	flores101-warmup-31	tur_t1	pe1	pe	100	99.0	99	17	14.0	14	262.5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	262500	1	1642600367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	tur	3	262.5	4.375	0.0729	2.625	15.4412	0.01	233.1429	3.8857	10	The Hershey and Chase experiment was one of the leading suggestions that DNA was a genetic material.	Hershey ve Chase deneyi, DNA'nın genetik bir materyal olduğuna dair önde gelen önerilerden biriydi.	Hershey ve Chase deneyi, DNA'nın genetik bir materyal olduğuna dair önde gelen önerilerden biriydi.	REF:  hershey ve chase deneyi, dna'nın genetik bir materyal olduğuna dair önde gelen önerilerden biriydi.\nHYP:  hershey ve chase deneyi, dna'nın genetik bir materyal olduğuna dair önde gelen önerilerden biriydi.\nEVAL:
flores101-warmup-tur-3-pe1-2	601	flores101-warmup-32	tur_t1	pe1	pe	85	102.0	102	15	13.0	13	23.438	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	23438	1	1642600367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	tur	3	23.438	0.3906	0.0065	0.2757	1.5625	0.0118	2303.9508	38.3992	11	Hershey and Chase used phages, or viruses, to implant their own DNA into a bacterium.	Hershey ve Chase, kendi DNA'larını bir bakteriye yerleştirmek için fajları veya virüsleri kullandılar.	Hershey ve Chase, kendi DNA'larını bir bakteriye yerleştirmek için fajları veya virüsleri kullandılar.	REF:  hershey ve chase, kendi dna'larını bir bakteriye yerleştirmek için fajları veya virüsleri kullandılar.\nHYP:  hershey ve chase, kendi dna'larını bir bakteriye yerleştirmek için fajları veya virüsleri kullandılar.\nEVAL:
